tale	old	modern	confidence	method	context
iisjomfruen	forene	forener	0.80	window	Snart var han nede over Broen, hvor de to Lütschiner forene sig, Løvtræerne toge til;
iisjomfruen	nære	nærer	0.80	window	Og mens de gik, sank Solen bag den høie Fjeldvæg. » Jomfruen « stod i en Pragt og Glands, omgiven af de nære Bjerges sko
iisjomfruen	have	har	0.70	window	De have kysset hinanden og ladet Faderen see derpaa! det er da saa godt som Forlovelse; den Gamle sparkede ikke ud, han 
iisjomfruen	sidde	sidder	0.80	window	De have kysset hinanden og ladet Faderen see derpaa! det er da saa godt som Forlovelse; den Gamle sparkede ikke ud, han 
iisjomfruen	blive	bliver	0.80	window	De have kysset hinanden og ladet Faderen see derpaa! det er da saa godt som Forlovelse; den Gamle sparkede ikke ud, han 
iisjomfruen	kunne	kan	0.70	window	Der var Solskin, den deiligste Alperose glødede, den muntre, leende Babette , deilig som Foraaret der kom, Foraaret der 
iisjomfruen	sidde	sidder	0.80	window	Der var Solskin, den deiligste Alperose glødede, den muntre, leende Babette , deilig som Foraaret der kom, Foraaret der 
iisjomfruen	hænge	hænger	0.80	window	Der var Solskin, den deiligste Alperose glødede, den muntre, leende Babette , deilig som Foraaret der kom, Foraaret der 
iisjomfruen	lege	leger	0.80	window	Veie og Tunneler for Jernbaner bleve anlagte. »De lege Muldvarp!« sagde hun; »de grave Gange, derfor høres Lyd som Flint
iisjomfruen	grave	graver	0.80	window	Veie og Tunneler for Jernbaner bleve anlagte. »De lege Muldvarp!« sagde hun; »de grave Gange, derfor høres Lyd som Flint
iisjomfruen	lege	leger	0.80	window	Piilsnar skød den frem. »De lege Herrer dernede, Aandskræfterne!« sagde Iisjomfruen . »Naturmagternes Kræfter ere dog de
iisjomfruen	sidde	sidder	0.90	window	I samme Stund just, kom hen over Sneemarken hvor Iisjomfruen sad, et Selskab af Reisende; de havde bundet sig med Toug f
iisjomfruen	overskygge	overskygger	0.80	window	Det er en Klippegrund, som for en hundrede Aar siden en Dame lod steeninddæmme, belægge med Jord og beplante med tre Aka
iisjomfruen	hente	henter	0.90	window	Her er kun Snee og Klipper!« »Du veed god Besked!« sagde hun og loe. »Her bag ved, lidt nede, er en deilig Græsgang! der
iisjomfruen	stege	steger	0.90	window	Der stod et skummende Kjølvand efter Baaden, der i faa Minuter med de To naaede over til Øen, hvor de stege i Land.
iisjomfruen	komme	kommer	0.90	window	Ved hver Station udstige Fremmede, de komme med deres i Rødt indbundne Reisebog og læse sig til, hvad Mærkeligt de have 
iisjomfruen	have	har	0.80	window	Ved hver Station udstige Fremmede, de komme med deres i Rødt indbundne Reisebog og læse sig til, hvad Mærkeligt de have 
iisjomfruen	besøge	besøger	0.80	window	De besøge Chillon , de see derude i Søen den lille Ø med de tre Akasier, og læse i Bogen om Brudeparret, der i Aaret 185
iisjomfruen	ligge	ligger	0.82	spacy-dep	To saadanne ligge i de brede Fjeldkløfter under » Schreckhorn « og » Wetterhorn «, ved den lille Bjergby Grindelwald ; m
iisjomfruen	tære	tærer	0.82	spacy-dep	Paa begge Sider af Veien herop ligge Bjælkehuse, hvert Huus har sin lille Kartoffelhave, og den er en Nødvendighed, thi 
iisjomfruen	kalde	kalder	0.82	spacy-dep	Katten, det Skarn, har lært ham sine Kunster! det Menneskebarn har en Magt for sig, der støder mig bort; jeg kan ikke na
iisjomfruen	komme	kommer	0.82	spacy-dep	Katten, det Skarn, har lært ham sine Kunster! det Menneskebarn har en Magt for sig, der støder mig bort; jeg kan ikke na
iisjomfruen	elske	elsker	0.82	spacy-dep	Særligt elske de Blomsterne, Sommerfuglene og Menneskene, og mellem disse havde de særligt udkaaret sig den lille Rudy .
iisjomfruen	tjene	tjener	0.82	spacy-dep	Løse Træstammer og Steenbrokker tjene her som Bro; nu vare de ovre ved Ellekrattet og begyndte at gaae opad Bjerget, tæt
iisjomfruen	have	har	0.82	spacy-dep	Rudy klappede Hunden, men den indlod sig ikke mere med Fremmede, og det var jo endnu Rudy , men ikke længe; han slog sna
iisjomfruen	have	har	0.82	spacy-dep	Da Solen næste Morgen kom op, var hans Humeur for længe siden oppe, det havde aldrig været nede. » Babette er i Interlak
iisjomfruen	lede	leder	0.82	spacy-dep	Lütschinen bruste sin eensformige Accord, Vinden susede, Skyerne sei lede.
iisjomfruen	sige	siger	0.82	spacy-dep	Men Mølleren sparkede ud! det var et godt Spark! ud af Døren, op paa Bjerget til Gemserne! dem kan nu Rudy sigte paa og 
iisjomfruen	slippe	slipper	0.82	spacy-dep	Farvel Rudy !«« Og Babette sagde ogsaa Farvel, saa ynkelig som en lille Kattekilling, der ikke kan see sin Moder. »»Et O
iisjomfruen	kalde	kalder	0.82	spacy-dep	Maurice til Genfersøens Bred langs Rhonen, der med voldsom Fart jog fra sit Udspring under den grønne Gletscher, Iispala
iisjomfruen	stige	stiger	0.82	spacy-dep	I samme Stund just, kom hen over Sneemarken hvor Iisjomfruen sad, et Selskab af Reisende; de havde bundet sig med Toug f
iisjomfruen	sidde	sidder	0.82	spacy-dep	Det var Rudy og Babette ; ogsaa Mølleren var med. »Som Bagage!« sagde han. »Jeg er med som det Nødvendige!« »Der sidde d
iisjomfruen	sige	siger	0.82	spacy-dep	Ja ganske vist! og derfor holdt Babette en lille Prædiken for ham, den fornøiede hende selv og den klædte hende saa yndi
iisjomfruen	komme	kommer	0.82	spacy-dep	Bjergbonden saae dem gjennem Ruden, de seilede dernede i Skarer foran Iisjomfruen ; hun kom fra sit Gletscherslot, hun s
iisjomfruen	stille	stiller	0.82	spacy-dep	Bestandigt nedad! – og det var for Babette som laae der en Byrde paa hendes Hjerte, den blev altid tungere, en Synd var 
iisjomfruen	sige	siger	0.82	spacy-dep	Rudy saae ned deri, kun et eneste Blik og det var, som saae han en Guldring trille, blinke og spille, – sin tabte Bruder
iisjomfruen	smile	smiler	0.82	spacy-dep	Søen smiler, Kysterne smile;
iisjomfruen	jage	jager	0.82	spacy-dep	Dampskibe med vaiende Flag jage forbi, Lystbaade med deres to udspændte Seil flyve som hvide Sommerfugle hen over Vandsp
